Day,Geo: Canada
2016-11-28,47
2016-11-29,49
2016-11-30,48
2016-12-01,50
2016-12-02,53
2016-12-03,64
2016-12-04,71
2016-12-05,50
2016-12-06,52
2016-12-07,49
2016-12-08,51
2016-12-09,53
2016-12-10,67
2016-12-11,70
2016-12-12,52
2016-12-13,54
2016-12-14,53
2016-12-15,55
2016-12-16,59
2016-12-17,79
2016-12-18,79
2016-12-19,59
2016-12-20,60
2016-12-21,68
2016-12-22,67
2016-12-23,83
2016-12-24,100
2016-12-25,90
2016-12-26,61
2016-12-27,57
2016-12-28,54
2016-12-29,62
2016-12-30,68
2016-12-31,90
2017-01-01,75
2017-01-02,58
2017-01-03,53
2017-01-04,52
2017-01-05,51
2017-01-06,57
2017-01-07,68
2017-01-08,73
2017-01-09,49
2017-01-10,48
2017-01-11,49
2017-01-12,50
2017-01-13,55
2017-01-14,69
2017-01-15,71
2017-01-16,50
2017-01-17,50
2017-01-18,51
2017-01-19,51
2017-01-20,54
2017-01-21,68
2017-01-22,68
2017-01-23,49
2017-01-24,52
2017-01-25,49
2017-01-26,51
2017-01-27,58
2017-01-28,72
2017-01-29,70
2017-01-30,50
2017-01-31,51
2017-02-01,51
2017-02-02,51
2017-02-03,54
2017-02-04,70
2017-02-05,71
2017-02-06,47
2017-02-07,46
2017-02-08,49
2017-02-09,51
2017-02-10,53
2017-02-11,70
2017-02-12,71
2017-02-13,51
2017-02-14,55
2017-02-15,49
2017-02-16,45
2017-02-17,51
2017-02-18,67
2017-02-19,69
2017-02-20,59
2017-02-21,48
2017-02-22,50
2017-02-23,51
2017-02-24,51
2017-02-25,67
2017-02-26,69
2017-02-27,49
2017-02-28,49
2017-03-01,50
2017-03-02,49
2017-03-03,55
2017-03-04,67
2017-03-05,69
2017-03-06,50
2017-03-07,50
2017-03-08,50
2017-03-09,52
2017-03-10,53
2017-03-11,69
2017-03-12,70
2017-03-13,48
2017-03-14,53
2017-03-15,51
2017-03-16,55
2017-03-17,55
2017-03-18,70
2017-03-19,69
2017-03-20,50
2017-03-21,47
2017-03-22,48
2017-03-23,47
2017-03-24,57
2017-03-25,68
2017-03-26,70
2017-03-27,51
2017-03-28,50
2017-03-29,54
2017-03-30,52
2017-03-31,56
2017-04-01,66
2017-04-02,69
2017-04-03,48
2017-04-04,49
2017-04-05,50
2017-04-06,52
2017-04-07,56
2017-04-08,67
2017-04-09,69
2017-04-10,53
2017-04-11,50
2017-04-12,53
2017-04-13,57
2017-04-14,75
2017-04-15,78
2017-04-16,80
2017-04-17,55
2017-04-18,47
2017-04-19,49
2017-04-20,52
2017-04-21,56
2017-04-22,69
2017-04-23,67
2017-04-24,49
2017-04-25,50
2017-04-26,44
2017-04-27,47
2017-04-28,52
2017-04-29,64
2017-04-30,67
2017-05-01,53
2017-05-02,50
2017-05-03,47
2017-05-04,49
